2
188
1
1
1
5
1	
0	
Tipo_Ia
Tipo_NaoIa
-9.46003	3.08729	27.7899	-2.24446	-7.40834	
1.66711	-15.4358	-40.9024	-2.30181	1.79322	
2.38023	13.1015	-20.0525	0.318667	-0.0692307	
2.64641	22.3694	-2.72645	2.39062	-0.176257	
2.41056	21.6216	9.8073	4.44613	0.640139	
2.11929	10.705	17.6685	6.14832	2.10751	
1.66483	-5.68242	21.049	7.30034	3.98917	
0.956026	-24.9693	20.702	7.59335	5.55962	
0.471392	-42.8582	17.2143	7.4011	6.77594	
0.159333	-54.1587	12.2398	6.32862	7.06328	
-0.0018558	-55.8342	6.17395	4.57315	6.4294	
0.0865295	-45.8305	-0.325062	2.52261	4.74796	
0.375599	-27.8144	-6.89108	-0.0714297	2.42935	
0.581311	-5.18062	-12.4551	-3.47132	-0.644486	
0.993961	16.0348	-17.7425	-7.92572	-3.62454	
1.3274	33.8097	-22.2364	-13.2541	-6.33446	
1.66903	47.9248	-24.9997	-17.9938	-8.4933	
1.62079	56.8561	-26.7735	-22.215	-9.83565	
1.39754	58.3858	-26.143	-24.6596	-10.1421	
1.29222	53.7513	-22.9628	-25.436	-9.6969	
0.904069	42.9486	-18.0403	-24.2925	-8.44549	
0.434332	28.3882	-12.39	-21.3186	-6.84558	
0.0138063	12.8525	-7.42079	-16.7586	-4.71686	
-0.42742	-1.66301	-3.61073	-11.8073	-2.85609	
-0.902173	-13.8593	-0.73257	-6.96331	-1.23238	
-1.10118	-23.1862	0.867302	-2.56197	-0.253334	
-1.51679	-29.9251	3.3633	1.14692	0.348693	
-1.69973	-34.1204	6.32261	3.49154	0.399025	
-1.81645	-34.7742	10.0964	5.37076	0.000549358	
-1.90641	-31	13.4722	7.18492	-0.680597	
-1.84955	-25.0336	16.5241	8.25016	-1.47295	
-1.7303	-18.4247	18.5408	8.64344	-2.23789	
-1.66528	-11.4888	20.1962	9.13584	-2.90251	
-1.4955	-5.61622	20.5187	9.12223	-3.38577	
-1.13602	2.09214	19.3656	9.3135	-3.90134	
-0.758923	10.0885	16.5786	9.17166	-4.3237	
-0.448254	16.0502	13.4121	9.48358	-4.66863	
-0.0730596	21.7087	11.173	10.2086	-5.10211	
0.180093	26.5738	10.306	11.3856	-5.79105	
0.579842	30.57	11.8296	12.6271	-6.26407	
0.694272	31.7777	14.9351	13.4903	-6.63795	
0.683866	29.3432	19.3574	14.4596	-6.59451	
0.73704	24.7872	24.4254	15.3659	-6.18318	
