2
125
1
1
1
25
1	
0	
Tipo_Ic
Tipo_NaoIc
14.6257	-4.39784	-5.64584	3.87389	-0.256915	-2.5321	-7.08825	7.20122	5.19848	-7.04806	6.02073	-4.38293	-0.869457	-2.36277	-2.48246	4.11222	-5.4971	2.51534	-2.47731	-0.605032	-3.82815	-5.14397	-5.17485	-3.44429	5.51236	
-31.3348	-0.916762	2.32688	3.50255	-3.14433	3.80999	21.345	-1.82887	-2.54568	7.1399	63.6787	-0.423462	15.5249	27.5317	8.8263	-0.500624	0.327248	-5.40897	17.7223	2.97002	21.3479	1.37184	1.16259	-0.89383	-1.95926	
-20.0058	-0.812496	1.49755	2.06029	-2.14827	0.121999	17.4562	-0.935359	-1.74942	5.57622	47.8334	-0.232423	13.1103	18.2219	6.85385	-0.406717	0.0894112	-6.48472	12.1369	0.937254	13.0612	1.02175	0.775081	-0.836071	-1.17625	
-8.7214	-0.773327	0.808795	0.869509	-1.35757	-3.20225	12.9174	-0.356185	-1.22489	4.04804	32.446	-0.233181	10.3475	9.11459	4.6534	-0.118104	0.0671066	-7.93168	6.62708	-0.806063	5.4599	0.669739	0.505107	-0.830854	-0.541006	
1.52624	-0.626356	0.237475	-0.0573211	-0.439433	-5.94173	8.38766	0.160207	-0.655949	2.65224	18.8519	-0.133983	7.5602	1.48707	2.18195	0.0525789	-0.110264	-9.47537	1.63103	-2.04584	-1.24284	0.266654	0.285185	-0.7608	-0.301896	
10.0728	-0.595789	-0.00846212	-0.252618	0.337461	-8.09001	4.35045	0.383276	-0.392513	1.50352	7.23209	-0.107714	4.6535	-4.67998	-0.153812	0.242382	-0.390882	-11.1514	-1.99029	-2.982	-6.00816	0.0949878	-0.0429866	-0.763455	-0.00356553	
16.1447	-0.532527	-0.021053	-0.0712719	1.31828	-9.20204	1.19673	0.438931	-0.0360587	0.720133	-2.8893	-0.258695	1.84614	-9.10761	-2.43149	0.392745	-0.51124	-12.6658	-4.06943	-3.33556	-8.71242	-0.2539	-0.0651332	-0.745842	0.00275425	
19.6217	-0.664161	0.0140498	0.489812	2.06945	-9.71712	-0.937864	0.305465	0.00617788	0.433272	-12.4198	-0.147915	-0.760819	-11.6883	-4.29962	0.495782	-0.735759	-13.7678	-4.55855	-3.21636	-9.09942	-0.37944	-0.238655	-0.689042	-0.281253	
20.4642	-0.622207	-0.15662	0.718311	2.54476	-9.81624	-1.79192	0.073714	-0.0747028	0.369514	-21.6318	-0.137457	-3.1634	-12.7449	-5.88574	0.418	-0.757837	-14.6023	-3.80726	-2.91083	-8.09668	-0.545491	-0.394442	-0.615458	-0.199036	
19.2853	-0.586735	-0.376604	1.07055	2.86392	-9.38065	-1.55768	-0.0601357	0.0429376	0.376682	-29.6118	-0.196822	-4.54143	-12.5887	-6.86462	0.542307	-0.908717	-15.1872	-1.88307	-2.63788	-6.24344	-0.498063	-0.542542	-0.483273	-0.235005	
16.4969	-0.571851	-0.68797	1.14266	2.89736	-8.56205	-0.408004	-0.167792	0.00753475	0.67826	-35.3882	-0.0875035	-5.64859	-11.8599	-7.43984	0.619364	-0.868192	-14.9547	0.382693	-2.24175	-4.46369	-0.717584	-0.563902	-0.506227	0.140432	
12.308	-0.348725	-0.950525	1.69998	2.85684	-7.67306	1.09276	-0.185279	0.0674949	0.735506	-37.3289	-0.185008	-6.42242	-10.1545	-7.52916	0.682009	-0.79071	-14.4009	2.73737	-1.85588	-3.30218	-0.799632	-0.763737	-0.435064	0.489416	
7.07914	-0.45251	-1.57159	2.50469	2.56684	-6.59499	2.72592	-0.115593	0.352558	0.606928	-35.1353	-0.0252363	-6.72534	-7.73495	-6.98103	0.608471	-0.768709	-13.1088	4.82492	-1.71478	-2.79114	-0.798502	-0.987862	-0.352898	0.977707	
1.46445	-0.323327	-2.06531	3.14411	2.04235	-5.5484	4.26702	0.184714	0.374837	0.422315	-27.6719	-0.0913198	-7.13164	-5.4423	-6.28002	0.550846	-0.547706	-11.3422	6.15217	-1.75099	-3.23263	-0.85014	-1.10933	-0.199962	1.38829	
-4.20525	-0.225327	-2.44612	2.84213	1.18631	-4.11799	5.52529	0.356375	0.578685	0.130559	-16.3017	-0.0390478	-7.58655	-3.45921	-5.04343	0.590277	-0.546835	-9.23659	6.82928	-1.71035	-4.08627	-0.947058	-1.24377	-0.103062	1.93594	
-9.80082	-0.162253	-2.99274	1.54049	-0.13559	-2.91297	6.34097	0.769239	0.891048	-0.385367	-3.91643	0.0406581	-7.72452	-1.93942	-3.84688	0.595669	-0.584527	-6.9019	6.56519	-1.89109	-4.98934	-1.07303	-1.31202	-0.0954485	2.32144	
